advertising_budget,price,competitor_price,season,store_size,sales
374.7013869059341,72.89323938194418,63.71538699758981,2,707.3797497500602,2388.1734578042174
191.65765470510038,61.51263622725946,60.61662295566376,3,1048.724004297965,2779.3430969202086
889.2568149802834,72.17770817860314,76.97518856160035,4,966.4736949023272,3983.7983072145357
299.7525680311396,54.76043949883042,47.38654679263845,1,1206.2085477565322,1874.331513774435
1057.5347601013264,55.26636937515102,50.98050750569249,4,776.4211322559585,3923.4030142903002
283.9221426479361,43.91744950168869,38.63609746294816,1,881.6708369315108,2064.1488923452353
3640.0212586571815,58.00971196127996,54.480691685701714,2,695.7134038171384,4975.536022497596
506.0910163012985,23.32695908651229,27.110171412046977,2,1106.519297522813,2797.0071979931477
276.4689257100724,47.98703466071821,42.57624398157823,2,1357.95815406168,2594.6978796104313
77.00975065925259,65.85588517034866,67.61607823513926,4,1032.0518573283332,3355.921817621122
35.36000703828904,34.066395239850735,35.61218383743805,3,926.1512216768485,2623.858496535312
632.4915508881841,47.96190427454306,44.54167412264785,4,1318.1670667853944,3892.5964898313814
508.59359579212503,54.397358379844526,54.4227853604857,3,1071.7108919779641,3187.838276982103
147.20191813006048,70.30177342214178,77.93743534291742,3,918.3000963687587,2785.479111883184
4948.152291799861,64.04230391192316,54.28359086687091,3,985.3053890871564,6727.3926620127795
503.59651881909264,60.50893095915691,62.784308837758765,3,804.4706325690389,2972.6633752203993
979.6529742120214,51.851863342537136,51.299857523029196,1,1205.7754883357889,2787.2028346472202
3296.1873712652355,33.657298875898164,30.107173441822656,3,638.3315891951531,5291.661851055893
622.7860623812403,51.597581021287795,55.79370674463174,4,1122.0267090175869,3722.2501856640138
1337.4641385524997,41.859546891460795,30.818156792060332,2,1068.4238840219314,3295.48032713576
137.12072973823854,63.78891637521937,60.52592682856193,3,856.5434053968662,3017.045813743025
717.652714351435,61.187847771478665,72.77542892746294,1,1132.05174134131,2261.1102143849425
327.1997473833588,47.230835083444255,50.14785966243521,4,822.7921223228185,3439.2692490147556
555.6153861685674,57.6610332441091,63.52550463726649,4,1130.3683143960711,3764.7767186807173
140.4289023421744,34.73075830797274,34.81610243397137,1,1092.5825558986226,1843.7495411585844
757.460943095573,47.9224846709007,50.617692154664496,3,1017.3389142971068,3322.663768637137
158.26439132738614,67.55288501105842,65.9428251579714,4,1148.5990821878304,3323.200510767292
150.55741461981867,49.92438694664707,50.78468155847836,2,1305.8202013346495,2395.3373124013247
875.6658013940403,43.351719613584564,40.40991179205067,1,1223.5041097549215,2624.1966384644643
4200.355144423824,27.115776049321337,27.17984757215381,2,1224.0258812662087,5660.875764081259
336.49623690131114,38.29393091107059,34.34081095470583,4,1158.787024182102,3516.8638569930035
2086.5525359119465,62.572658293991566,60.047571940265684,1,1060.5487585010085,3562.9269052854547
